UWI,depth,latitude,longitude,gamma,neutron porosity,pe,sp,member,formation
4900722319,1895,41.61984,107.912908,59.6668,0.401,4.3895,26.8738,Tfob,Tfu
4900722319,1895.5,41.61984,107.912908,66.8778,0.4136,4.3463,26.8199,Tfob,Tfu
4900722319,1896,41.61984,107.912908,65.2047,0.4199,4.2971,26.6856,Tfob,Tfu
4900722319,1896.5,41.61984,107.912908,60.4209,0.405,4.3161,26.5397,Tfob,Tfu
4900722319,1897,41.61984,107.912908,56.4149,0.3958,4.4919,26.6229,Tfob,Tfu
4900722319,1897.5,41.61984,107.912908,56.8626,0.4033,4.7679,26.1822,Tfob,Tfu
4900722319,1898,41.61984,107.912908,57.0276,0.4088,5.0536,26.0786,Tfob,Tfu
4900722319,1898.5,41.61984,107.912908,56.0378,0.4156,5.3106,25.8831,Tfob,Tfu
4900722319,1899,41.61984,107.912908,53.2571,0.4286,5.5889,26.2391,Tfob,Tfu
4900722319,1899.5,41.61984,107.912908,52.9744,0.4376,5.8468,26.1093,Tfob,Tfu
4900722319,1900,41.61984,107.912908,56.0378,0.4355,6.0503,25.9517,Tfob,Tfu
4900722319,1900.5,41.61984,107.912908,59.3841,0.4287,6.2206,26.1603,Tfob,Tfu
4900722319,1901,41.61984,107.912908,60.8451,0.4268,6.3541,26.0699,Tfob,Tfu
4900722319,1901.5,41.61984,107.912908,60.5152,0.428,6.3623,26.1983,Tfob,Tfu
4900722319,1902,41.61984,107.912908,59.9025,0.4345,6.2007,25.8131,Tfob,Tfu
4900722319,1902.5,41.61984,107.912908,59.8082,0.4412,6.0356,25.905,Tfob,Tfu
4900722319,1903,41.61984,107.912908,60.4209,0.4405,6.0161,26.0567,Tfob,Tfu
4900722319,1903.5,41.61984,107.912908,60.6566,0.4392,6.1479,26.2654,Tfob,Tfu
4900722319,1904,41.61984,107.912908,60.1853,0.4328,6.2298,26.2216,Tfob,Tfu
4900722319,1904.5,41.61984,107.912908,61.3871,0.4224,6.1412,26.5164,Tfob,Tfu
4900722319,1905,41.61984,107.912908,60.9394,0.4169,5.8854,26.6287,Tfob,Tfu
